Unique ID,Alias Name,Alias strength
AQD0009,AL AMIN TRUST,
AQD0009,AL AMIN WELFARE TRUST,
AQD0009,AL MADINA TRUST,
AQD0009,AL RASHEED TRUST,
AQD0009,AL-AMEEN TRUST,
AQD0009,AL-MADINA TRUST,
AQD0009,AL-RASHEED TRUST,
AQD0009,AL-RASHID TRUST,
AQD0010,AL-AKHTAR TRUST INTERNATIONAL,
AQD0010,AKHTARABAD MEDICAL CAMP,
AQD0010,AL AKHTAR TRUST,
AQD0010,AL-AKHTAR MEDICAL CENTRE,
AQD0010,AZMAT PAKISTAN TRUST,
AQD0010,AZMAT-E-PAKISTAN TRUST,
AQD0010,PAKISTAN RELIEF FOUNDATION,
AQD0010,PAKISTANI RELIEF FOUNDATION,
AQD0011,AL-HARAMAIN & AL MASJED AL-AQSA CHARITY FOUNDATION,
AQD0011,AL HARAMAIN AL MASJED AL AQSA,
AQD0011,AL HARAMAYN AL MASJID AL AQSA,
AQD0011,AL HARAMMEIN AL MASJED AL-AQSA CHARITY FOUNDATION,
AQD0011,AL-HARAMAYN AND AL MASJID AL AQSA CHARITABLE FOUNDATION,
AQD0013,AL-HARAMAIN FOUNDATION (PAKISTAN),
AQD0014,AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS),
AQD0017,AL-HARAMAIN (AFGHANISTAN BRANCH),
AQD0018,AL-HARAMAIN (ALBANIA BRANCH),
AQD0019,AL-HARAMAIN (BANGLADESH),
AQD0020,AL-HARAMAIN (ETHIOPIA BRANCH),
AQD0021,AL-HARAMAIN (THE NETHERLANDS BRANCH),
AQD0021,STICHTING AL HARAMAIN HUMANITARIAN AID,
AQD0022,AL-HARAMAYN FOUNDATION (KENYA),
AQD0023,AL-HARAMAYN FOUNDATION (TANZANIA),
AQD0024,AL-ITIHAAD AL-ISLAMIYA (AIAI),
AQD0025,AL-KAWTHAR MONEY EXCHANGE,
AQD0025,AL KAWTHAR CO.,
AQD0025,AL KAWTHAR COMPANY,
AQD0025,AL-KAWTHAR HAWALA,
AQD0027,AL-QAIDA,
AQD0027,AL QAEDA,
AQD0027,AL QA'IDA,
AQD0027,ISLAMIC ARMY,
AQD0027,ISLAMIC SALVATION FOUNDATION,
AQD0027,THE BASE,
AQD0027,THE GROUP FOR THE PRESERVATION OF THE HOLY SITES,
AQD0027,THE ISLAMIC ARMY FOR THE LIBERATION OF HOLY PLACES,
AQD0027,THE WORLD ISLAMIC FRONT FOR JIHAD AGAINST JEWS AND CRUSADERS,
AQD0027,USAMA BIN LADEN NETWORK,
AQD0027,USAMA BIN LADEN ORGANIZATION,
AQD0028,AL-QAIDA IN IRAQ,
AQD0028,AL-QAIDA OF JIHAD IN THE LAND OF THE TWO RIVERS,
AQD0028,AL-TAWHID,
AQD0028,AL-ZARQAWI NETWORK,
AQD0028,AQI,
AQD0028,ISI,
AQD0028,ISLAMIC STATE IN IRAQ AND THE LEVANT,
AQD0028,ISLAMIC STATE OF IRAQ,
AQD0028,JAMA'AT AL-TAWHID WA'AL-JIHAD,
AQD0028,JTJ,
AQD0028,QAIDA OF THE JIHAD IN THE LAND OF THE TWO RIVERS,
AQD0028,TANZEEM QA IDAT AL JIHAD/BILAD AL RAAFIDAINI,
AQD0028,TANZIM QA'IDAT AL-JIHAD FI BILAD AL-RAFIDAYN,
AQD0028,THE MONOTHEISM AND JIHAD GROUP,
AQD0028,THE ORGANIZATION BASE OF JIHAD/COUNTRY OF THE TWO RIVERS,
AQD0028,THE ORGANIZATION BASE OF JIHAD/MESOPOTAMIA,
AQD0029,AL-QAIDA IN THE ARABIAN PENINSULA,
AQD0029,AL-QAIDA IN THE SOUTH ARABIAN PENINSULA,
AQD0029,AL-QAIDA IN YEMEN (AQY),
AQD0029,AL-QAIDA OF JIHAD ORGANIZATION IN THE ARABIAN PENINSULA,
AQD0029,AL-QAIDA ORGANIZATION IN THE ARABIAN PENINSULA AQAP,
AQD0029,ANSAR AL-SHARI'A AAS,
AQD0029,AQAP,
AQD0029,TANZIM QA'IDAT AL-JIHAD FI JAZIRAT AL-ARAB,
AQD0030,ANSAR AL CHARIA BENGHAZI,
AQD0030,ANSAR AL CHARIA,
AQD0030,ANSAR AL CHARIA IN LIBYA ASL,
AQD0030,ANSAR AL SHARIA,
AQD0030,ANSAR AL-CHARIA,
AQD0030,ANSAR AL-CHARIA BENGHAZI,
AQD0030,ANSAR AL-SHARIA,
AQD0030,ANSAR AL-SHARIA BENGHAZI,
AQD0030,KATIBAT ANSAR AL CHARIA,
AQD0031,ANSAR AL CHARIA DERNA,
AQD0031,ANSAR AL CHARIA,
AQD0031,ANSAR AL SHARIA,
AQD0031,ANSAR AL-CHARIA DERNA,
AQD0031,ANSAR AL-SHARIA DERNA,
AQD0032,ANSAR AL-ISLAM,
AQD0032,ANSAR AL-SUNNA,
AQD0032,ANSAR AL-SUNNA ARMY,
AQD0032,DEVOTEES OF ISLAM,
AQD0032,FOLLOWERS OF ISLAM IN KURDISTAN,
AQD0032,JAISH ANSAR AL-SUNNA,
AQD0032,JUND AL-ISLAM,
AQD0032,KURDISH TALIBAN,
AQD0032,KURDISTAN SUPPORTERS OF ISLAM,
AQD0032,SOLDIERS OF GOD,
AQD0032,SOLDIERS OF ISLAM,
AQD0032,SUPPORTERS OF ISLAM IN KURDISTAN,
AQD0033,ANSAR AL-SHARI'A IN TUNISIA,
AQD0033,AAS-T,
AQD0033,AL-QAYRAWAN MEDIA FOUNDATION,
AQD0033,ANSAR AL-SHARIA,
AQD0033,ANSAR AL-SHARIA IN TUNISIA,
AQD0033,ANSAR AL-SHARI'AH IN TUNISIA,
AQD0033,SUPPORTERS OF ISLAMIC LAW,
AQD0034,ANSAR EDDINE,
AQD0035,ANSARUL MUSLIMINA FI BILADIS SUDAN,
AQD0035,ANSARU,
AQD0035,JAMA'ATU ANSARIL MUSLIMINA FI BILADIS SUDAN (JAMBS),
AQD0035,JAMA'ATU ANSARUL MUSLIMINA FI BILADIS-SUDAN (JAMBS),
AQD0035,JAMMA'ATU ANSARUL MUSLIMINA FI BILADIS-SUDAN(JAMBS),
AQD0035,VANGUARD FOR THE PROTECTION OF MUSLIMS IN BLACK AFRICA,
AQD0035,VANGUARDS FOR THE PROTECTION OF MUSLIMS IN BLACK AFRICA,
AQD0036,ARMED ISLAMIC GROUP,
AQD0036,AL JAMM'AH AL-ISLAMIAH AL- MUSALLAH,
AQD0036,GIA,
AQD0036,GROUPE ISLAMIQUE ARME,
AQD0037,ASBAT AL-ANSAR,
AQD0038,BENEVOLENCE INTERNATIONAL FOUNDATION,
AQD0038,AL BIR AL DAWALIA,
AQD0038,BIF,
AQD0038,BIF-USA,
AQD0038,MEZHDUNARODNYJ BLAGOTVORITEL'NYL FOND,
AQD0040,EASTERN TURKISTAN ISLAMIC MOVEMENT,
AQD0040,DJAMAAT TURKISTAN,
AQD0040,ETIM,
AQD0040,ISLAMIC PARTY OF TURKESTAN,
AQD0040,THE EASTERN TURKISTAN ISLAMIC PARTY,
AQD0040,THE EASTERN TURKISTAN ISLAMIC PARTY OF ALLAH,
AQD0041,EGYPTIAN ISLAMIC JIHAD,
AQD0041,AL-JIHAD,
AQD0041,EGYPTIAN AL-JIHAD,
AQD0041,EGYPTIAN ISLAMIC MOVEMENT,
AQD0041,JIHAD GROUP,
AQD0041,NEW JIHAD,
AQD0042,EMARAT KAVKAZ,
AQD0043,GLOBAL RELIEF FOUNDATION,
AQD0044,"HANIFA MONEY EXCHANGE OFFICE (BRANCH LOCATED IN ALBU KAMAL, SYRIAN ARAB REPUBLIC)",
AQD0044,HANIFA EXCHANGE,
AQD0044,HANIFA MONEY EXCHANGE OFFICE,
AQD0044,HANIFAH CURRENCY EXCHANGE,
AQD0044,HANIFAH EXCHANGE COMPANY,
AQD0044,HANIFEH EXCHANGE,
AQD0044,HUNAIFA OFFICE,
AQD0045,HARAKAT SHAM AL-ISLAM,
AQD0045,HARAKET SHAM AL-ISLAM,
AQD0045,SHAM AL-ISLAM,
AQD0045,SHAM AL-ISLAM MOVEMENT,
AQD0046,HARAKAT UL-MUJAHIDIN (HUM),
AQD0046,AL-FARAN,
AQD0046,AL-HADID,
AQD0046,AL-HADITH,
AQD0046,HARAKAT UL- MUJAHIDEEN,
AQD0046,HARAKAT UL-ANSAR,
AQD0046,HUA,
AQD0047,HARAKAT-UL JIHAD ISLAMI,
AQD0047,HARAKAT UL JIHAD-E-ISLAMI,
AQD0047,HARAKAT-UL-ANSAR,
AQD0047,HARKAT-AL-JIHAD-UL ISLAMI,
AQD0047,HARKAT-UL-JEHAD-AL-ISLAMI,
AQD0047,HARKAT-UL-JIHAD-AL ISLAMI,
AQD0047,HUA,
AQD0047,HUJI,
AQD0047,MOVEMENT OF ISLAMIC HOLY WAR,
AQD0048,HILAL AHMAR SOCIETY INDONESIA (HASI),
AQD0048,INDONESIA HILAL AHMAR SOCIETY FOR SYRIA,
AQD0048,YAYASAN HILAL AHMAR,
AQD0049,ISLAMIC ARMY OF ADEN,
AQD0050,ISLAMIC INTERNATIONAL BRIGADE,
AQD0050,IIB,
AQD0050,INTERNATIONAL BATTALION,
AQD0050,ISLAMIC PEACEKEEPING BATTALION,
